species	Streptococcus_salivarius	Clostridium_disporicum	Monoglobus_pectinilyticus	Eubacterium_siraeum	Gemmiger_formicilis	Faecalibacterium_prausnitzii	Ruthenibacterium_lactatiformans	Subdoligranulum_sp._4_3_54A2FAA	Anaerotruncus_colihominis	Massilioclostridium_coli	Neglecta_timonensis	Clostridium_leptum	Anaeromassilibacillus_sp._Marseille-P3371	Ruminococcus_bicirculans	Ruminococcus_callidus	Clostridium_phoceensis	Flavonifractor_plautii	Intestinimonas_butyriciproducens	Coprococcus_eutactus	Clostridium_sp._L2-50	Eubacterium_rectale	Roseburia_inulinivorans	Roseburia_faecis	Roseburia_hominis	Roseburia_intestinalis	Eubacterium_ramulus	Lachnospira_pectinoschiza	Eubacterium_eligens	Anaerostipes_caccae	Anaerostipes_hadrus	Clostridium_sp._SS2/1	Eubacterium_ventriosum	Coprococcus_comes	Sellimonas_intestinalis	Ruminococcus_lactaris	Ruminococcus_faecis	Ruminococcus_torques	Mordavella_sp._Marseille-P3756	Dorea_longicatena	Dorea_formicigenerans	Ruminococcus_gnavus	Blautia_massiliensis	Blautia_obeum	Blautia_sp._Marseille-P3087	Blautia_sp._SF-50	Blautia_sp._Marseille-P2398	Blautia_sp._KLE_1732	Blautia_wexlerae	Blautia_producta	Blautia_sp._Marseille-P3201T	Blautia_hydrogenotrophica	Fusicatenibacter_saccharivorans	Hungatella_hathewayi	Clostridium_symbiosum	Clostridium_citroniae	Clostridium_bolteae	Clostridium_clostridioforme	Bacteroides_pectinophilus	Eisenbergiella_massiliensis	Eubacterium_hallii	Butyrivibrio_crossotus	Intestinibacter_bartlettii	Romboutsia_timonensis	Finegoldia_magna	Alistipes_indistinctus	Alistipes_ihumii	Alistipes_obesi	Alistipes_shahii	Alistipes_finegoldii	Alistipes_putredinis	Odoribacter_splanchnicus	Butyricimonas_sp._Marseille-P4593	Parabacteroides_distasonis	Parabacteroides_merdae	Prevotellamassilia_timonensis	Paraprevotella_clara	Prevotella_corporis	Prevotella_copri	Prevotella_stercorea	Prevotella_sp._Marseille-P4119	Prevotella_lascolaii	Bacteroides_coprocola	Bacteroides_dorei	Bacteroides_vulgatus	Bacteroides_sp._4_3_47FAA	Bacteroides_massiliensis	Bacteroides_cellulosilyticus	Bacteroides_intestinalis	Bacteroides_xylanisolvens	Bacteroides_sp._3_1_13	Bacteroides_ovatus	Bacteroides_sp._HMSC073E02	Bacteroides_caccae	Bacteroides_finegoldii	Bacteroides_faecis	Bacteroides_thetaiotaomicron	Bacteroides_fragilis	Bacteroides_salyersiae	Bacteroides_eggerthii	Bacteroides_stercoris	Bacteroides_uniformis	Bacteroides_sp._D20	Barnesiella_intestinihominis	Bilophila_wadsworthia	Clostridium_glycyrrhizinilyticum	Escherichia_coli	Sutterella_wadsworthensis	Akkermansia_muciniphila	Collinsella_bouchesdurhonensis	Collinsella_aerofaciens	Collinsella_sp._4_8_47FAA	Collinsella_sp._TF06-26	Senegalimassilia_anaerobia	Gordonibacter_urolithinfaciens	Gordonibacter_pamelaeae	Eggerthella_lenta	Adlercreutzia_equolifaciens	Bifidobacterium_bifidum	Bifidobacterium_catenulatum	Bifidobacterium_pseudocatenulatum	Bifidobacterium_kashiwanohense	Bifidobacterium_adolescentis	Bifidobacterium_breve	Bifidobacterium_longum	Bifidobacterium_animalis	Lactococcus_lactis	Megasphaera_massiliensis	Dialister_invisus	Phascolarctobacterium_succinatutens	Turicibacter_sanguinis	bacterium_LF-3	Coprobacillus_sp._8_1_38FAA	Coprobacillus_sp._29_1	Massiliomicrobiota_timonensis	Catenibacterium_mitsuokai	Clostridium_spiroforme	Eubacterium_sp._3_1_31	Faecalitalea_cylindroides	Holdemanella_biformis	Streptococcus_thermophilus	Lactobacillus_ruminis
Streptococcus_salivarius	0.0	0.21081	0.22748000000000002	0.37028000000000005	0.45382	0.49498999999999993	0.40573000000000004	0.39931000000000005	0.39232999999999996	0.35655000000000003	0.39857	0.41251000000000004	0.36604000000000003	0.35129	0.37215	0.32105000000000006	0.31096999999999997	0.28859	0.3127	0.31515000000000004	0.29569999999999996	0.33813000000000004	0.32858	0.31694	0.31694	0.33191000000000004	0.31953	0.31965	0.32162	0.31811999999999996	0.31540999999999997	0.29111999999999993	0.31970999999999994	0.30979	0.32984	0.32850999999999997	0.32748999999999995	0.33994	0.33908000000000005	0.34153	0.28108	0.3255	0.32867999999999997	0.33709999999999996	0.33551	0.33391000000000004	0.33406	0.33506	0.29544000000000004	0.30304	0.28518	0.28405	0.30913999999999997	0.31443	0.30155	0.29935	0.29315	0.31374	0.28403999999999996	0.30859000000000003	0.30105000000000004	0.26419000000000004	0.2861	0.21661	0.32508000000000004	0.3270900000000001	0.31162	0.31852	0.31852	0.30086	0.3383900000000001	0.35853	0.35484000000000004	0.3627100000000001	0.54412	0.41657	0.43969	0.4452900000000001	0.49184000000000005	0.4859800000000001	0.44821	0.40945	0.43105000000000004	0.43312000000000006	0.4334100000000001	0.43030999999999997	0.41145	0.39915999999999996	0.41333	0.41236000000000006	0.44509999999999994	0.4417	0.40676	0.41781	0.40715999999999997	0.40715999999999997	0.39477000000000007	0.41974	0.38848000000000005	0.41205	0.39215	0.39177000000000006	0.33601000000000003	0.26937	0.50244	0.3184100000000001	0.3560000000000001	0.23972	0.29572	0.30596	0.30651000000000006	0.30651000000000006	0.32711999999999997	0.32736	0.3215	0.29825999999999997	0.28259999999999996	0.25148000000000004	0.27232999999999996	0.27114	0.26483	0.25915	0.2522	0.2522	0.24189	0.39718	0.25404000000000004	0.28694	0.26852	0.15528999999999998	0.23124	0.2294	0.2609	0.27357	0.27515999999999996	0.18564999999999998	0.26	0.28395000000000004	0.2803	0.08567	0.08565
Clostridium_disporicum	0.21081	0.0	0.061869999999999994	0.20467	0.28821	0.32937999999999995	0.24012	0.23370000000000002	0.22672	0.19094	0.23296	0.2469	0.20043	0.18568	0.20654	0.15544	0.14536000000000002	0.12298	0.16597	0.16842000000000001	0.14897	0.19140000000000001	0.18185	0.17021000000000003	0.17021000000000003	0.18518	0.1728	0.17292000000000002	0.17489	0.17139	0.16868	0.14439000000000002	0.17297999999999997	0.16305999999999998	0.18311	0.18178	0.18075999999999998	0.19321	0.19234999999999997	0.19479999999999997	0.13435000000000002	0.17876999999999998	0.18195	0.19036999999999998	0.18878	0.18718	0.18733	0.18833	0.14871	0.15631	0.13845000000000002	0.13732	0.16241	0.16770000000000002	0.15482	0.15261999999999998	0.14642	0.16701	0.13731	0.16186	0.15432	0.11746	0.13937	0.06988	0.25301	0.25502	0.23955000000000004	0.24645000000000003	0.24645000000000003	0.22879000000000002	0.26632	0.28646000000000005	0.28277	0.29064	0.47205	0.3445	0.36762	0.37322	0.41977000000000003	0.41391	0.37614000000000003	0.33738	0.35898	0.36105	0.36134	0.35824	0.33938	0.32709	0.34126	0.34029	0.37303	0.36962999999999996	0.33469	0.34574	0.33509	0.33509	0.3227	0.34767	0.31640999999999997	0.33998	0.32008	0.3197	0.26394	0.1973	0.43037	0.24634000000000003	0.28393	0.16765	0.22365	0.23389000000000001	0.23444	0.23444	0.25505	0.25528999999999996	0.24943	0.22619000000000003	0.21053000000000002	0.17941000000000001	0.20026000000000002	0.19907	0.19276000000000001	0.18708000000000002	0.18013	0.18013	0.16982	0.32510999999999995	0.18197	0.21487	0.19645	0.18836	0.26431	0.26247	0.29397000000000006	0.30664	0.30823	0.21871999999999997	0.29307	0.31702	0.31337000000000004	0.13775999999999997	0.13773999999999997
Monoglobus_pectinilyticus	0.22748000000000002	0.061869999999999994	0.0	0.14856	0.2321	0.27327	0.18400999999999998	0.17759	0.17060999999999998	0.13483	0.17684999999999998	0.19078999999999996	0.14432	0.12957	0.15043	0.09933	0.08925	0.06687	0.18263999999999997	0.18508999999999998	0.16564	0.20806999999999998	0.19851999999999997	0.18688	0.18688	0.20184999999999997	0.18947000000000003	0.18958999999999998	0.19155999999999995	0.18806	0.18535000000000001	0.16105999999999998	0.18964999999999999	0.17973	0.19978	0.19845000000000002	0.19743	0.20988	0.20901999999999998	0.21147	0.15102	0.19544	0.19862000000000002	0.20704	0.20545000000000002	0.20384999999999998	0.20400000000000001	0.20500000000000002	0.16538000000000003	0.17298000000000002	0.15511999999999998	0.15399000000000002	0.17908000000000002	0.18437000000000003	0.17149000000000003	0.16929	0.16309	0.18368	0.15398	0.17853000000000002	0.17099000000000003	0.13413000000000003	0.15604	0.08655000000000002	0.26968000000000003	0.27169000000000004	0.25622000000000006	0.26312	0.26312	0.24546000000000004	0.28299	0.30313	0.29944	0.30730999999999997	0.48872	0.36117	0.38429	0.38989	0.43644	0.43058	0.39281000000000005	0.35405	0.37565	0.37772	0.37800999999999996	0.37490999999999997	0.35605	0.34376	0.35792999999999997	0.35696	0.3897	0.3863	0.35136	0.36241	0.35176	0.35176	0.33937	0.36434	0.33308	0.35665	0.33675	0.33637	0.28061	0.21397000000000002	0.44703999999999994	0.26301	0.30060000000000003	0.18432	0.24032	0.25056	0.25111	0.25111	0.27171999999999996	0.27196	0.2661	0.24286000000000005	0.22720000000000004	0.19608	0.21693	0.21574000000000002	0.20943000000000003	0.20375000000000001	0.1968	0.1968	0.18649000000000002	0.34178	0.19864	0.23154000000000002	0.21312	0.20503000000000002	0.28098000000000006	0.27914000000000005	0.3106400000000001	0.3233100000000001	0.3249000000000001	0.23539	0.30974	0.33369000000000004	0.33004000000000006	0.15442999999999998	0.15441
Eubacterium_siraeum	0.37028000000000005	0.20467	0.14856	0.0	0.23986000000000002	0.28102999999999995	0.19177	0.18535	0.17837	0.14259	0.18461000000000002	0.19855	0.15208000000000002	0.13733	0.15819	0.15755	0.14747	0.12508999999999998	0.32544000000000006	0.32789000000000007	0.30844	0.35087000000000007	0.34132000000000007	0.3296800000000001	0.3296800000000001	0.34465000000000007	0.33227000000000007	0.3323900000000001	0.33436000000000005	0.3308600000000001	0.3281500000000001	0.30386	0.33245	0.32253000000000004	0.34258000000000005	0.34125000000000005	0.3402300000000001	0.3526800000000001	0.3518200000000001	0.3542700000000001	0.29381999999999997	0.3382400000000001	0.34142000000000006	0.34984000000000004	0.34825000000000006	0.34665000000000007	0.34680000000000005	0.34780000000000005	0.30818	0.31578	0.29792	0.29679	0.32188000000000005	0.32717000000000007	0.31429	0.31209000000000003	0.30589	0.32648000000000005	0.29678	0.32133	0.31379	0.27693	0.29884	0.22935	0.41248	0.41448999999999997	0.39902	0.40592	0.40592	0.38826	0.42579	0.44593	0.44224	0.45011	0.63152	0.50397	0.5270900000000001	0.5326900000000001	0.57924	0.57338	0.53561	0.49685	0.5184500000000001	0.5205200000000001	0.5208100000000001	0.5177100000000001	0.49885	0.48656	0.50073	0.49976	0.5325000000000001	0.5291	0.49416	0.5052099999999999	0.49456	0.49456	0.48217	0.50714	0.47588	0.49944999999999995	0.47955	0.47917	0.42341	0.35677	0.58984	0.40581	0.4434	0.32712	0.38312	0.39336000000000004	0.39391000000000004	0.39391000000000004	0.41452000000000006	0.41476	0.40890000000000004	0.38566	0.37000000000000005	0.33888	0.35973	0.35853999999999997	0.35223	0.34655	0.3396	0.3396	0.32929	0.48458	0.34144	0.37434	0.35592	0.34783000000000003	0.42378	0.42194000000000004	0.45344	0.46611	0.4677	0.37819	0.45254000000000005	0.4764900000000001	0.47284000000000004	0.29723	0.29721
Gemmiger_formicilis	0.45382	0.28821	0.2321	0.23986000000000002	0.0	0.08223	0.062310000000000004	0.05589	0.17391	0.17413	0.21614999999999998	0.23009	0.18361999999999998	0.18305	0.20391	0.24109000000000003	0.23101000000000002	0.20863	0.40898000000000007	0.41143	0.39198000000000005	0.4344100000000001	0.42486000000000007	0.4132200000000001	0.4132200000000001	0.42819000000000007	0.41581000000000007	0.4159300000000001	0.41790000000000005	0.41440000000000005	0.41169000000000006	0.3874	0.4159900000000001	0.4060700000000001	0.4261200000000001	0.4247900000000001	0.4237700000000001	0.4362200000000001	0.43536000000000014	0.4378100000000001	0.3773600000000001	0.42178000000000004	0.42496	0.43338000000000004	0.43179	0.43019	0.43034	0.43134	0.39172000000000007	0.39932000000000006	0.3814600000000001	0.3803300000000001	0.40542000000000006	0.4107100000000001	0.3978300000000001	0.39563000000000004	0.38943000000000005	0.4100200000000001	0.38032	0.40487	0.39733	0.36047	0.38238000000000005	0.31289	0.49601999999999996	0.49803000000000003	0.48255999999999993	0.48945999999999995	0.48945999999999995	0.47179999999999994	0.50933	0.52947	0.52578	0.5336500000000001	0.7150600000000001	0.5875100000000001	0.61063	0.61623	0.6627799999999999	0.65692	0.61915	0.58039	0.60199	0.60406	0.60435	0.6012500000000001	0.58239	0.5701	0.58427	0.5832999999999999	0.61604	0.6126400000000001	0.5777	0.58875	0.5781	0.5781	0.56571	0.59068	0.55942	0.5829899999999999	0.5630900000000001	0.56271	0.50695	0.4403099999999999	0.67338	0.48934999999999995	0.5269400000000001	0.41065999999999997	0.46666	0.4769	0.47745	0.47745	0.49806	0.4983	0.49244	0.4692	0.45354	0.42241999999999996	0.44327	0.44208	0.43577	0.43009	0.42313999999999996	0.42313999999999996	0.41283	0.5681200000000001	0.42497999999999997	0.45787999999999995	0.43945999999999996	0.43137000000000003	0.50732	0.50548	0.53698	0.54965	0.55124	0.46173000000000003	0.53608	0.56003	0.5563800000000001	0.38077	0.38075
Faecalibacterium_prausnitzii	0.49498999999999993	0.32937999999999995	0.27327	0.28102999999999995	0.08223	0.0	0.10347999999999999	0.09706	0.21508000000000002	0.21530000000000002	0.25732	0.27126	0.22479	0.22422	0.24508000000000002	0.28226000000000007	0.27218000000000003	0.24980000000000002	0.45015000000000005	0.45260000000000006	0.43315000000000003	0.47558000000000006	0.46603000000000006	0.45439000000000007	0.45439000000000007	0.46936000000000005	0.45698000000000005	0.45710000000000006	0.45907000000000003	0.45557000000000003	0.45286000000000004	0.42857	0.45716000000000007	0.4472400000000001	0.4672900000000001	0.4659600000000001	0.4649400000000001	0.47739000000000004	0.47653000000000006	0.47898000000000013	0.41853000000000007	0.46295000000000003	0.46613	0.47455	0.47296	0.47136	0.47151	0.47251	0.43289000000000005	0.44049000000000005	0.42263000000000006	0.42150000000000004	0.4465900000000001	0.45188000000000006	0.43900000000000006	0.4368	0.43060000000000004	0.4511900000000001	0.42149	0.44604	0.4385	0.40164	0.42355000000000004	0.35406	0.5371900000000001	0.5392000000000001	0.52373	0.53063	0.53063	0.51297	0.5505000000000001	0.57064	0.5669500000000001	0.57482	0.7562300000000001	0.62868	0.6518	0.6574	0.7039500000000001	0.6980900000000001	0.66032	0.6215600000000001	0.6431600000000001	0.6452300000000001	0.64552	0.64242	0.6235600000000001	0.6112700000000001	0.62544	0.6244700000000001	0.6572100000000001	0.65381	0.61887	0.62992	0.6192700000000001	0.6192700000000001	0.6068800000000001	0.63185	0.6005900000000001	0.62416	0.6042600000000001	0.6038800000000001	0.5481200000000002	0.48147999999999996	0.71455	0.5305200000000001	0.5681100000000001	0.45183	0.5078300000000001	0.5180700000000001	0.5186200000000001	0.5186200000000001	0.5392300000000001	0.5394700000000001	0.5336100000000001	0.5103700000000001	0.49471000000000004	0.46359	0.48444000000000004	0.48325	0.47694000000000003	0.47126	0.46431	0.46431	0.454	0.6092900000000001	0.46615	0.49905	0.48063	0.47254000000000007	0.54849	0.5466500000000001	0.57815	0.5908200000000001	0.5924100000000001	0.5029	0.57725	0.6012000000000001	0.5975500000000001	0.42194000000000004	0.42192
Ruthenibacterium_lactatiformans	0.40573000000000004	0.24012	0.18400999999999998	0.19177	0.062310000000000004	0.10347999999999999	0.0	0.00642	0.12582000000000002	0.12604	0.16806000000000001	0.182	0.13553	0.13496	0.15582000000000001	0.193	0.18292	0.16054	0.36089000000000004	0.36334000000000005	0.34389000000000003	0.38632000000000005	0.37677000000000005	0.36513	0.36513	0.38010000000000005	0.36772000000000005	0.36784000000000006	0.36981	0.36631	0.36360000000000003	0.33931000000000006	0.36790000000000006	0.3579800000000001	0.3780300000000001	0.3767000000000001	0.37568000000000007	0.38813000000000003	0.38727000000000006	0.3897200000000001	0.32927000000000006	0.37369	0.37687	0.38529	0.3837	0.38210000000000005	0.38225000000000003	0.38325000000000004	0.34363000000000005	0.35123000000000004	0.3333700000000001	0.3322400000000001	0.3573300000000001	0.36262000000000005	0.34974000000000005	0.34754000000000007	0.3413400000000001	0.3619300000000001	0.33222999999999997	0.35678	0.34924	0.31238	0.33429000000000003	0.2648	0.44793	0.44994000000000006	0.43446999999999997	0.44137	0.44137	0.42371	0.46124	0.48138	0.47769	0.48556	0.6669700000000001	0.5394200000000001	0.56254	0.5681400000000001	0.6146900000000001	0.6088300000000001	0.57106	0.5323000000000001	0.5539000000000001	0.5559700000000001	0.5562600000000001	0.5531600000000001	0.5343000000000001	0.5220100000000001	0.5361800000000001	0.5352100000000001	0.5679500000000001	0.5645500000000001	0.52961	0.54066	0.5300100000000001	0.5300100000000001	0.5176200000000001	0.54259	0.51133	0.5349	0.5150000000000001	0.5146200000000001	0.45886000000000005	0.39221999999999996	0.62529	0.44126	0.47885	0.36257	0.41857000000000005	0.42881	0.42936	0.42936	0.44997000000000004	0.45021000000000005	0.44435	0.42111000000000004	0.40545000000000003	0.37433	0.39518000000000003	0.39399	0.38768	0.382	0.37505	0.37505	0.36474	0.5200300000000001	0.37689	0.40979	0.39137	0.38328000000000007	0.45923	0.4573900000000001	0.48889000000000005	0.50156	0.50315	0.41364000000000006	0.48799000000000003	0.5119400000000001	0.5082900000000001	0.33268000000000003	0.33266
Subdoligranulum_sp._4_3_54A2FAA	0.39931000000000005	0.23370000000000002	0.17759	0.18535	0.05589	0.09706	0.00642	0.0	0.1194	0.11961999999999999	0.16164	0.17557999999999999	0.12911	0.12854	0.1494	0.18658	0.1765	0.15411999999999998	0.35447	0.35692	0.33747000000000005	0.3799	0.37035	0.35871000000000003	0.35871000000000003	0.37368	0.3613	0.36142	0.36339000000000005	0.35989000000000004	0.35718	0.33289	0.3614800000000001	0.35156000000000004	0.37161000000000005	0.37028000000000005	0.36926000000000003	0.38171000000000005	0.3808500000000001	0.38330000000000003	0.32285	0.36727000000000004	0.37045	0.37887	0.37728	0.37568	0.37583	0.37683	0.33721000000000007	0.34481	0.3269500000000001	0.32582000000000005	0.35091000000000006	0.35620000000000007	0.34332000000000007	0.3411200000000001	0.33492000000000005	0.35551000000000005	0.32581	0.35036	0.34282	0.30595999999999995	0.32787	0.25838	0.44151	0.44351999999999997	0.42805	0.43495	0.43495	0.41729	0.45481999999999995	0.47495999999999994	0.47126999999999997	0.47913999999999995	0.66055	0.533	0.5561200000000001	0.56172	0.6082700000000001	0.60241	0.56464	0.52588	0.5474800000000001	0.5495500000000001	0.54984	0.54674	0.52788	0.5155900000000001	0.52976	0.52879	0.5615300000000001	0.55813	0.52319	0.53424	0.52359	0.52359	0.5112	0.53617	0.50491	0.52848	0.50858	0.5082	0.45244	0.3857999999999999	0.61887	0.43483999999999995	0.47242999999999996	0.35614999999999997	0.41215	0.42239	0.42294	0.42294	0.44355	0.44379	0.43793	0.41469	0.39903	0.36790999999999996	0.38876	0.38756999999999997	0.38126	0.37557999999999997	0.36862999999999996	0.36862999999999996	0.35831999999999997	0.51361	0.37046999999999997	0.40336999999999995	0.38494999999999996	0.37686000000000003	0.45281	0.45097000000000004	0.48247	0.49514	0.49673	0.40722	0.48157000000000005	0.5055200000000001	0.50187	0.32626	0.32624
Anaerotruncus_colihominis	0.39232999999999996	0.22672	0.17060999999999998	0.17837	0.17391	0.21508000000000002	0.12582000000000002	0.1194	0.0	0.11263999999999999	0.15466000000000002	0.1686	0.12213	0.12156	0.14242	0.1796	0.16952	0.14714	0.34749	0.34994000000000003	0.33049000000000006	0.37292000000000003	0.36337	0.35173000000000004	0.35173000000000004	0.3667	0.35432	0.35444000000000003	0.35641	0.35291000000000006	0.3502	0.3259100000000001	0.3545000000000001	0.34458000000000005	0.36463000000000007	0.36330000000000007	0.36228000000000005	0.37473000000000006	0.3738700000000001	0.37632000000000004	0.31587	0.36029000000000005	0.36347	0.37189	0.3703	0.3687000000000001	0.36885000000000007	0.36985000000000007	0.3302300000000001	0.3378300000000001	0.31997000000000003	0.31884	0.34393000000000007	0.3492200000000001	0.3363400000000001	0.3341400000000001	0.32794000000000006	0.34853000000000006	0.31883	0.34338	0.33584	0.29897999999999997	0.32089	0.2514	0.43453	0.43654	0.42107	0.42797	0.42797	0.41031	0.44783999999999996	0.46797999999999995	0.46429	0.47215999999999997	0.65357	0.52602	0.5491400000000001	0.55474	0.6012900000000001	0.59543	0.55766	0.5189	0.5405000000000001	0.5425700000000001	0.54286	0.53976	0.5209	0.50861	0.52278	0.52181	0.5545500000000001	0.55115	0.5162100000000001	0.5272600000000001	0.51661	0.51661	0.50422	0.52919	0.49792999999999993	0.5215	0.5016	0.50122	0.44546	0.37881999999999993	0.61189	0.42785999999999996	0.46545	0.34917	0.40517000000000003	0.41541	0.41596	0.41596	0.43657	0.43681000000000003	0.43095	0.40771	0.39205	0.36093	0.38178	0.38059	0.37428	0.3686	0.36164999999999997	0.36164999999999997	0.35134	0.50663	0.36349	0.39638999999999996	0.37797	0.36988000000000004	0.44583	0.44399000000000005	0.47549	0.48816000000000004	0.48975	0.40024000000000004	0.47459000000000007	0.4985400000000001	0.49489000000000005	0.31928	0.31926
Massilioclostridium_coli	0.35655000000000003	0.19094	0.13483	0.14259	0.17413	0.21530000000000002	0.12604	0.11961999999999999	0.11263999999999999	0.0	0.09322	0.10716	0.06069	0.08578	0.10664	0.14382	0.13374	0.11136	0.31171	0.31416	0.29470999999999997	0.33714000000000005	0.3275900000000001	0.31595	0.31595	0.33092000000000005	0.31854000000000005	0.31866000000000005	0.3206300000000001	0.3171300000000001	0.31442000000000003	0.29013	0.31872000000000006	0.30879999999999996	0.3288500000000001	0.3275200000000001	0.32650000000000007	0.3389500000000001	0.33809000000000006	0.34054000000000006	0.28009	0.3245100000000001	0.3276900000000001	0.3361100000000001	0.3345200000000001	0.33292000000000016	0.33307000000000014	0.3340700000000001	0.29445	0.30205	0.28419000000000005	0.28306000000000003	0.30815	0.31344	0.30056	0.29836	0.29216	0.31275000000000003	0.28305	0.3076	0.30006	0.26320000000000005	0.28511000000000003	0.21562000000000003	0.39875	0.40075999999999995	0.38528999999999997	0.39219	0.39219	0.37453	0.41206000000000004	0.4322	0.42851	0.43638	0.6177900000000001	0.49024	0.51336	0.5189600000000001	0.5655100000000001	0.5596500000000001	0.5218800000000001	0.48312000000000005	0.5047200000000001	0.5067900000000001	0.5070800000000001	0.50398	0.48512	0.47283000000000003	0.487	0.48603	0.5187700000000001	0.5153700000000001	0.48042999999999997	0.49148	0.48083	0.48083	0.46844	0.49340999999999996	0.46215	0.48572	0.46582	0.46544	0.40968	0.34304	0.57611	0.39208	0.42967	0.31339	0.36939000000000005	0.37963	0.38018	0.38018	0.40079000000000004	0.40103000000000005	0.39517	0.37193000000000004	0.35627000000000003	0.32515	0.34600000000000003	0.34481	0.3385	0.33282	0.32587	0.32587	0.31556	0.47085	0.32771	0.36061	0.34219	0.33410000000000006	0.41005	0.4082100000000001	0.43971000000000005	0.45238000000000006	0.45397000000000004	0.36446000000000006	0.43881000000000003	0.46276000000000006	0.45911000000000013	0.28350000000000003	0.28348
